Pcd,Lat,Long,Duration,num_Dur,Old_Or_New,num_Old,Prd_Category_Type,num_Prd,Property_Type,num_Pro,dis_station,station_dis,station_Lat,station_Lng,dis_airport,air_dis,air_Lat,air_Lng,Price
BR54JH,51.383701,0.11253,F,2,N,2,A,1,S,1.5,17.249,0,51.47,?-0.0942,26.033,0,51.1536621,0.182062,370000
BR54JP,51.381162,0.112198,L,1,N,2,A,1,F,1,17.389,0,51.47,?-0.0942,25.76,0,51.1536621,0.182062,205000
BR54JU,51.380521,0.111364,F,2,N,2,A,1,T,1.5,17.382,0,51.47,?-0.0942,25.701,0,51.1536621,0.182062,370000
BR54JZ,51.379386,0.109989,F,2,N,2,A,1,S,1.5,17.377,0,51.47,?-0.0942,25.595,0,51.1536621,0.182062,360000
BR54LF,51.374892,0.112312,F,2,N,2,A,1,D,2,17.801,0,51.47,?-0.0942,25.074,0,51.1536621,0.182062,710000
BR54NZ,51.376568,0.119602,F,2,N,2,A,1,S,1.5,18.102,0,51.47,?-0.0942,25.164,0,51.1536621,0.182062,360000
BR60AE,51.37438,0.091726,F,2,N,2,A,1,D,2,16.711,0,51.47,?-0.0942,25.335,0,51.1536621,0.182062,1010000
BR60BX,51.379916,0.084391,F,2,N,2,A,1,D,2,15.927,0,51.47,?-0.0942,26.06,0,51.1536621,0.182062,590000
BR60DF,51.380764,0.102364,F,2,N,2,A,1,T,1.5,16.858,0,51.47,?-0.0942,25.854,0,51.1536621,0.182062,365000
BR60EY,51.380671,0.0995,F,2,N,2,A,1,T,1.5,16.704,0,51.47,?-0.0942,25.888,0,51.1536621,0.182062,376500
BR60FG,,,L,1,Y,1,A,1,F,1,16.908,0,51.47,?-0.0942,25.909,0,51.1536621,0.182062,390000
BR60FG,,,L,1,Y,1,A,1,F,1,16.908,0,51.47,?-0.0942,25.909,0,51.1536621,0.182062,400000
BR60FG,,,L,1,Y,1,A,1,F,1,16.908,0,51.47,?-0.0942,25.909,0,51.1536621,0.182062,350000
BR60FG,,,L,1,Y,1,A,1,F,1,16.908,0,51.47,?-0.0942,25.909,0,51.1536621,0.182062,395000
BR60HJ,51.379381,0.103752,F,2,N,2,A,1,T,1.5,17.027,0,51.47,?-0.0942,25.683,0,51.1536621,0.182062,420000
BR60HP,51.382983,0.100957,F,2,N,2,A,1,S,1.5,16.634,0,51.47,?-0.0942,26.116,0,51.1536621,0.182062,430000
BR60HU,51.383126,0.102544,F,2,N,2,A,1,S,1.5,16.715,0,51.47,?-0.0942,26.108,0,51.1536621,0.182062,645000
BR60LA,51.381003,0.104042,L,1,N,2,A,1,F,1,16.937,0,51.47,?-0.0942,25.855,0,51.1536621,0.182062,260000
BR60LZ,51.375931,0.099068,L,1,N,2,B,2.5,O,7,17,0,51.47,?-0.0942,25.381,0,51.1536621,0.182062,30000
BR60RX,51.375106,0.095898,F,2,N,2,A,1,D,2,16.884,0,51.47,?-0.0942,25.343,0,51.1536621,0.182062,815000
BR60SD,51.372625,0.093342,L,1,N,2,A,1,F,1,16.922,0,51.47,?-0.0942,25.118,0,51.1536621,0.182062,199000
BR60TS,51.381682,0.089746,F,2,N,2,A,1,T,1.5,16.096,0,51.47,?-0.0942,26.155,0,51.1536621,0.182062,375000
BR60UR,51.384726,0.102575,L,1,N,2,A,1,F,1,16.614,0,51.47,?-0.0942,26.281,0,51.1536621,0.182062,225000
BR60XA,51.380451,0.095237,F,2,N,2,A,1,D,2,16.482,0,51.47,?-0.0942,25.931,0,51.1536621,0.182062,555000
BR66DH,51.351873,0.096115,F,2,N,2,A,1,T,1.5,18.621,0,51.47,?-0.0942,22.837,0,51.1536621,0.182062,665000
BR66EB,51.352008,0.098161,F,2,N,2,A,1,S,1.5,18.712,0,51.47,?-0.0942,22.815,0,51.1536621,0.182062,520000
BR66EE,51.354039,0.102203,F,2,N,2,A,1,S,1.5,18.756,0,51.47,?-0.0942,22.964,0,51.1536621,0.182062,587500
BR66EX,51.35855,0.104421,F,2,N,2,A,1,S,1.5,18.529,0,51.47,?-0.0942,23.414,0,51.1536621,0.182062,470000
